name,hex
سبز,#5ec866
بنفش,#a446cc
آبی,#3582ea
قرمز,#e62d36
صورتی,#ef59b5
قهوه ای,#905933
نارنجی,#f68324
زرد,#f1e834
سبز لجنی,#5b7b45
سبز چمنی,#68cb45
خردلی,#dbae35
سبز آبی,#3cd7b9
سرخابی,#e82f94
آبی نفتی,#1d52d1
سبز روشن,#78ed6a
فیروزه ای,#43d6d6
سبز فسفری,#75f548
گلبهی,#ee7e7f
سبز تیره,#377e3d
سرمه ای,#333590
آبی آسمانی,#43caf6
زرشکی,#9c1e36
آجری,#c9662f
آبی تیره,#2048c4
سبز پسته ای,#85dd60
فسفری,#a6f53c
سورمه ای,#263689
خاکستری,#9d9fa5
ارغوانی,#b93dae
بنفش تیره,#693293
یاسی,#c085d1
یشمی,#708a4b
کرم,#e6c38c
طوسی,#909097
سبز کم رنگ,#a0f07c
بنفش روشن,#ca69df
نیلی,#55a6d7
آبی کاربنی,#2b2ee7
آبی فیروزه ای,#3de1eb
سبز پررنگ,#1d703b
آبی روشن,#43c5f9
بادمجانی,#66296c
سبز یشمی,#53834e
سیاه,#20181a